일련번호,구분,자치구 코드,자치구 이름,마트 이름,마트 전화번호,마트 주소,마트 홈페이지,주차장 유무
103,마트,215000,광진구,워커힐상가,454-0365,광진구 광장동 서울시 광진구 아차산로 635(광장동),,유
104,마트,215000,광진구,자양종합시장,457-7480,광진구 자양2동 서울시 광진구 자양번영로6길 20(자양동),,유
105,마트,215000,광진구,한아름시장,465-7965,광진구 화양동 서울시 광진구 능동로13길 39(화양동),,유
106,마트,215000,광진구,광성시장,467-5200,광진구 중곡1동 서울시 광진구 능동로47길 30(중곡동),,무
107,마트,215000,광진구,현대종합상가,464-3916,광진구 광장동 서울시 광진구 광나루로 635(광장동),,유
108,마트,215000,광진구,동서울터미널상가,450-8832,광진구 구의3동 서울시 광진구 강변역로 50(구의동),,유
109,마트,215000,광진구,구의현대종합상가,454-7529,광진구 구의3동 서울시 광진구 광나루로56길 66(구의동),,유
110,마트,215000,광진구,프라임프라자상가,3437-2572,광진구 구의3동 서울시 광진구 광나루로56길 63(구의동),,유
111,마트,215000,광진구,테크노마트21,3424-0300,광진구 구의3동 서울시 광진구 광나루로56길 85(구의동),,유
112,마트,215000,광진구,프라젠스파,580-0361,광진구 자양2동 서울시 광진구 자양로5길 33(자양동,와이엠프라젠스타),유
113,마트,215000,광진구,파크에비뉴,466-6767,광진구 군자동 서울시 광진구 광나루로 369(군자동, 광진두산위브파크),유
115,마트,215000,광진구,중곡제일골목시장,466-5003,광진구 중곡1동 서울시 광진구 능동로47길 30(중곡동),,무
116,마트,215000,광진구,노룬산골목시장,465-2103,광진구 자양4동 서울시 광진구 뚝섬로25길 6(자양동),,무
117,마트,215000,광진구,자양골목시장,458-1624,광진구 자양1동 서울시 광진구 자양로15길 96(자양동),,유
118,마트,215000,광진구,영동교골목시장,463-9686,광진구 자양4동 서울시 광진구 동일로10길 30(자양동),,무
119,마트,215000,광진구,화양제일골목시장,462-2859,광진구 화양동 서울시 광진구 아차산로29길 59(화양동),,무
120,마트,215000,광진구,면곡골목시장,437-7686,광진구 중곡3동 서울시 광진구 답십리로78길 5(중곡동),,무
121,마트,215000,광진구,능동로골목시장,499-6708,광진구 자양3동 서울시 광진구 뚝섬로30길 23(자양동),,무
122,마트,215000,광진구,롯데마트 강변점,3424-2506,광진구 구의3동 서울시 광진구 광나루로56길 85, 지하2층(구의동),유
123,마트,215000,광진구,이마트 자양점,2024-1051,광진구 자양3동 서울시 광진구 아차산로 272(자양동),,유
125,마트,260000,중랑구,두리마트,973-2100,중랑구 묵2동 서울시 중랑구 중랑역로 225(묵동),,무
126,마트,260000,중랑구,수협바다마트신내점,3423-0100,중랑구 신내1동 서울시 중랑구 신내로14길 21(신내동,동성7차아파트),무
127,마트,260000,중랑구,먹골할인마트,949-2333,중랑구 묵1동 서울시 중랑구 공릉로2길 7(묵동),,무
128,마트,260000,중랑구,진로마트,979-7881,중랑구 묵1동 서울시 중랑구 중랑역로 262(묵동),,무
129,마트,260000,중랑구,홈플러스익스프레스 태릉점,491-8546,중랑구 중화2동 서울시 중랑구 동일로129길 35(중화동, 태능에셈빌),무
130,마트,260000,중랑구,뉴건영할인마트,495-3001,중랑구 신내1동 서울시 중랑구 신내로7길 16(신내동,건영2차아파트),무
131,마트,260000,중랑구,롯데쇼핑(주)롯데슈퍼상봉점,434-5602,중랑구 상봉2동 서울시 중랑구 동일로 887(묵동),,무
132,마트,260000,중랑구,홈플러스익스프레스 망우점,434-8545,중랑구 망우3동 서울시 중랑구 용마산로 494(망우동),,무
133,마트,260000,중랑구,코리아마트,438-2783,중랑구 신내1동 서울시 중랑구 신내로 48(신내동),,무
134,마트,260000,중랑구,(주)참마트,409-2600,중랑구 중화1동 서울시 중랑구 봉화산로 56(중화동),,무
135,마트,260000,중랑구,롯데쇼핑(주)롯데슈퍼묵동점,2209-5735,중랑구 묵2동 서울시 중랑구 동일로 887(묵동),,무
136,마트,260000,중랑구,하나로마트신내점,493-3080,중랑구 신내1동 서울시 중랑구 신내로 74(신내동),,무
137,마트,260000,중랑구,홈마트,2209-6622,중랑구 면목2동 서울시 중랑구 봉우재로6길 23(면목동),,무
138,마트,260000,중랑구,햇빛촌,435-9591,중랑구 면목2동 서울시 중랑구 망우로30길 37(면목동),,무
139,마트,260000,중랑구,부흥점할인마트,491-3368,중랑구 면목2동 서울시 중랑구 면목천로23길 51(면목동,제일빌리지),무
140,마트,260000,중랑구,맥스토어,2207-4861,중랑구 면목3·8동 서울시 중랑구 면목3·8동 15-1,,무
141,마트,260000,중랑구,동산할인마트,432-0562,중랑구 면목4동 서울시 중랑구 용마산로 202(면목동),,무
142,마트,260000,중랑구,우정하이퍼,433-2966,중랑구 상봉2동 서울시 중랑구 면목로91길 31(상봉동),,무
144,마트,260000,중랑구,가락농산물마트,2207-9190,중랑구 중화1동 서울시 중랑구 동일로 766(중화동),,무
145,마트,260000,중랑구,태능공판장,491-1222,중랑구 중화1동 서울시 중랑구 동일로130길 6(중화동),,무
147,마트,260000,중랑구,더브러마트,971-8332,중랑구 묵1동 서울시 중랑구 묵1동 120-307,,무
148,마트,260000,중랑구,화랑마트,973-3113,중랑구 묵2동 서울시 중랑구 동일로151길 7(묵동),,무
149,마트,260000,중랑구,광성마트,932-0846,중랑구 망우본동 서울시 중랑구 망우로67길 7(망우동),,무
150,마트,260000,중랑구,어울림마트,494-1201,중랑구 망우본동 서울시 중랑구 양원역로 18(망우동,금호어울림아파트),무
151,마트,260000,중랑구,24시영할인마트,070-7739-8254,중랑구 망우3동 서울시 중랑구 용마산로 475(망우동),,무
152,마트,260000,중랑구,코사마트,2207-3953,중랑구 망우3동 서울시 중랑구 봉우재로58길 16(망우동),,무
153,마트,230000,동대문구,(주)홈플러스 동대문점,2173-8120,동대문구 용신동 서울시 동대문구 천호대로 133(용두동),www.homeplus.co.kr,유
154,마트,230000,동대문구,바우하우스,2115-1780,동대문구 장안2동 서울시 동대문구 답십리로 288(장안동,바우하우스),유
156,마트,230000,동대문구,서울풍물시장,2232-3367,동대문구 용신동 서울시 동대문구 천호대로4길 21(신설동),,유
159,마트,620000,관악구,GS슈퍼마켓,873-0637,관악구 청룡동 서울시 관악구 쑥고개로 111(봉천동),www.gsretail.com,유
160,마트,620000,관악구,중앙할인마트,872-7508,관악구 중앙동 서울시 관악구 관악로 211(봉천동),,유
162,마트,620000,관악구,원마트,888-0930,관악구 인헌동 서울시 관악구 납부순환로248길 35(봉천동),,무
163,마트,620000,관악구,난곡신세계할인마트,830-0340,관악구 난향동 서울시 관악구 난곡로 100(신림동,파로스프라자),유
164,마트,620000,관악구,드림마트,886-0400,관악구 서림동 서울시 관악구 신림로 144(신림동),,유
165,마트,620000,관악구,진흥마켓,865-0111,관악구 신사동 서울시 관악구 남부순환로157길 63(신림동),,무
166,마트,620000,관악구,대성유통,884-4322,관악구 삼성동 서울시 관악구 원신2길 34(신림동),,무
167,마트,620000,관악구,세이브 마트,856-6022,관악구 미성동 서울시 관악구 난곡로 220(신림동),www.savemart.org/,유
169,마트,620000,관악구,라붐아울렛,6276-8000,관악구 청룡동 서울시 관악구 남부순환로 1820(봉천동),,유
171,마트,620000,관악구,르네상스쇼핑몰,888-0630,관악구 신림동 서울시 관악구 신림로 340(신림동),www.renaissancemall.co.kr/,유
172,마트,620000,관악구,포도몰,881-8004,관악구 서원동 서울시 관악구 신림로 330(신림동),www.epodomall.co.kr/,유
173,마트,620000,관악구,관악현대종합상가,882-0924,관악구 청림동 서울시 관악구 관악로 304(봉천동, 관악현대아파트),유
174,마트,620000,관악구,관악프라자,887-1871,관악구 행운동 서울시 관악구 관악로 212, 3(봉천동),유
175,마트,170000,용산구,아이파크몰,2012-0101,용산구 한강로동 서울시 용산구 한강대로23길 55(한강로3가),www.iparkmall.co.kr/,유
176,마트,170000,용산구,하나로클럽 용산점,2077-2800 ,용산구 한강로동 서울시 용산구 청파로 122(한강로2가),www.hanaro-club.com,유
177,마트,170000,용산구,이마트 용산점,2012-1234,용산구 한강로동 서울시 용산구 한강대로23길 55(한강로3가),emart.shinsegae.com/,유
178,마트,230000,동대문구,한솔동의보감,6370-0000,동대문구 제기동 서울시 동대문구 왕산로 109(제기동, 한솔동의보감),유
179,마트,230000,동대문구,건강백화점 동의보감,3293-4701,동대문구 용신동 서울시 동대문구 왕산로 128(용두동, 동의보감타워),유
180,마트,230000,동대문구,블로장생타워,6456-7200,동대문구 제기동 서울시 동대문구 왕산로 117 (제기동, 불로장생타워),유
181,마트,230000,동대문구,청량리 현대코아,3299-3564,동대문구 청량리동 서울시 동대문구 홍릉길 13, 774 (청량리동),유
182,마트,230000,동대문구,전농프라자,2214-7400,동대문구 전농1동 서울시 동대문구 서울시립대로 36 (전농동, 전농프라자),무
184,마트,560000,영등포구,롯데백화점 영등포점,2670-8831~6,영등포구 영등포본동 서울시 영등포구 경인로102길 13(영등포동),www.lotteshopping.com/depart/branch/submain.jsp?branch_cd=003,유
185,마트,560000,영등포구,신세계백화점 영등포점,2639-1040~1,영등포구 영등포동 서울시 영등포구 영중로 9(영등포동4가),department.shinsegae.com/store/yongdungpo/introduce.asp,유
186,마트,710000,송파구,마천중앙시장,448-2808,송파구 마천2동 송파구 마천2동 마천동 140-2,,무
187,마트,710000,송파구,문정로데오상점가,400-1633,송파구 문정1동 서울시 송파구 동남로4길 10일대(문정동),,무
188,마트,710000,송파구,방이시장,413-3913,송파구 방이2동 서울시 송파구 중대로 80(문정동),,무
189,마트,710000,송파구,석촌시장,414-8784,송파구 석촌동 서울시 송파구 송파대로37길 70일대(석촌동),,무
190,마트,710000,송파구,새마을시장,2203-4949,송파구 잠실본동 서울시 송파구 석촌호수로12길 3일대(잠실동),,무
191,마트,710000,송파구,풍납시장,470-6005,송파구 풍납1동 서울시 송파구 바람드리길 50일대(풍납동),,무
192,마트,710000,송파구,롯데캐슬플라자,2146-2002(~3),송파구 잠실6동 서울시 송파구 올림픽로 269(신천동,롯데캐슬골드),유
193,마트,710000,송파구,가든파이브 툴동,2047-6010,송파구 문정2동 서울시 송파구 문정2동 문정동 280,www.garden5.com/,유
194,마트,710000,송파구,잠실중앙상가,422-5851,송파구 잠실3동 서울시 송파구 올림픽로 203(잠실동, 잠실주공아파트 5단지),유
195,마트,710000,송파구,올림픽파크 동부센트레빌,430-7007,송파구 오금동 서울시 송파구 오금동 1-11,,유
196,마트,710000,송파구,장미종합상가,430-7007,송파구 잠실6동 서울시 송파구 올림픽로35길 104(신천동,장미아파트),유
197,마트,710000,송파구,프리마타워 쇼핑센터,412-1630,송파구 잠실7동 서울시 송파구 올림픽로4길 42(잠실동,우성아파트),유
198,마트,710000,송파구,엄마손상가,415-7686,송파구 석촌동 서울시 송파구 가락로 103(석촌동),,유
199,마트,710000,송파구,한화건설 송파점,416-6006,송파구 송파1동 서울시 송파구 가락로 183(송파동),,유
200,마트,710000,송파구,올림픽프라자상가,400-0198,송파구 오륜동 서울시 송파구 양재대로 1222(방이동),,유
201,마트,710000,송파구,쌍용프라자 상가,403-7008,송파구 가락2동 서울시 송파구 동남로 193(가락동, 가락쌍용아파트),유
202,마트,710000,송파구,송파쇼핑센터(아울렛코리아),431-0611,송파구 마천1동 서울시 송파구 마천로 315(마천동,현대그린빌),유
203,마트,710000,송파구,갤러리아팰리스 아케이드,2145-4942,송파구 잠실3동 서울시 송파구 올림픽로 212(잠실동, 갤러리아팰리스),유
204,마트,710000,송파구,가든파이브 라이프동,2157-0118,송파구 문정2동 서울시 송파구 문정2동 문정동 517,www.garden5.com/ ,유
206,마트,260000,중랑구,그랜드마트,432-4004,중랑구 상봉2동 서울시 중랑구 망우로32길 37(면목동),,무
207,마트,110000,종로구,푸른마트,738-1668,종로구 청운효자동 서울시 종로구 필운대로6길 3(통인동),,무
208,마트,110000,종로구,오거리슈퍼,722-0612,종로구 청운효자동 서울시 종로구 자하문로9길 17(통인동),,무
209,마트,110000,종로구,월드마트,722-1186,종로구 사직동 서울시 종로구 사직로 95(필운동,파크맨션아파트),무
210,마트,110000,종로구,G.C(지씨)마트,733-4870,종로구 사직동 서울시 종로구 사직로8길 20(내수동,파크팰리스),무
211,마트,110000,종로구,제일마트,391-7408,종로구 사직동 서울시 종로구 자하문로 266(부암동),,무
212,마트,110000,종로구,화계쇼핑,379-8514,종로구 사직동 서울시 종로구 진흥로 484(신영동),,무
213,마트,110000,종로구,럭케체인슈퍼,394-3727,종로구 사직동 서울시 종로구 백석동길 15(부암동),,무
214,마트,110000,종로구,중앙슈퍼,395-4152,종로구 평창동 서울시 종로구 평창11길 5(평창동),,무
215,마트,110000,종로구,코스꼬레마트,3414-0051,종로구 평창동 서울시 종로구 평창11길 3(평창동),,무
